1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.013085	0.000000	0.367949	0.176154	979.0
1	0.004450	0.000000	0.367949	0.105745	8.4
2	0.001231	0.000000	0.367949	0.054350	8.4
3	0.000375	0.000000	0.367949	0.029647	8.3
4	0.000129	0.000000	0.367949	0.017853	8.3
5	0.000039	0.000000	0.367949	0.009731	8.3
6	0.000011	0.000000	0.367949	0.005206	8.1
7	0.000003	0.000000	0.367949	0.002864	8.3
8	0.000001	0.000000	0.367949	0.001639	8.3
9	0.000000	0.000000	0.367949	0.000932	8.3
10	0.000000	0.000000	0.367949	0.000531	8.3
11	0.000000	0.000000	0.367949	0.000288	8.2
12	0.000000	0.000000	0.367949	0.000160	8.1
13	0.000000	0.000000	0.367949	0.000091	9.4
14	0.000000	0.000000	0.367949	0.000054	6.7
15	0.000000	0.000000	0.367949	0.000030	7.9
16	0.000000	0.000000	0.367949	0.000016	7.8
17	0.000000	0.000000	0.367949	0.000010	7.7
18	0.000000	0.000000	0.367949	0.000005	7.6
19	0.000000	0.000000	0.367949	0.000003	7.6
20	0.000000	0.000000	0.367949	0.000002	7.5
21	0.000000	0.000000	0.367949	0.000001	7.5
22	0.000000	0.000000	0.367949	0.000001	7.5
23	0.000000	0.000000	0.367949	0.000000	7.4
24	0.000000	0.000000	0.367949	0.000000	7.4
25	0.000000	0.000000	0.367949	0.000000	7.4
26	0.000000	0.000000	0.367949	0.000000	7.2
27	0.000000	0.000000	0.367949	0.000000	7.4
28	0.000000	0.000000	0.367949	0.000000	7.4
29	0.000000	0.000000	0.367949	0.000000	7.4
30	0.000000	0.000000	0.367949	0.000000	7.4
31	0.000000	0.000000	0.367949	0.000000	7.4
32	0.000000	0.000000	0.367949	0.000000	7.4
33	0.000000	0.000000	0.367949	0.000000	7.4
34	0.000000	0.000000	0.367949	0.000000	7.4
35	0.000000	0.000000	0.367949	0.000000	7.4
36	0.000000	0.000000	0.367949	0.000000	7.4
37	0.000000	0.000000	0.367949	0.000000	7.4
38	0.000000	0.000000	0.367949	0.000000	7.4
39	0.000000	0.000000	0.367949	0.000000	7.4
40	0.000000	0.000000	0.367949	0.000000	7.4
41	0.000000	0.000000	0.367949	0.000000	7.4
42	0.000000	0.000000	0.367949	0.000000	7.4
43	0.000000	0.000000	0.367949	0.000000	7.4
44	0.000000	0.000000	0.367949	0.000000	7.6
45	0.000000	0.000000	0.367949	0.000000	8.3
46	0.000000	0.000000	0.367949	0.000000	8.4
47	0.000000	0.000000	0.367949	0.000000	8.4
48	0.000000	0.000000	0.367949	0.000000	8.3
49	0.000000	0.000000	0.367949	0.000000	8.2
50	0.000000	0.000000	0.367949	0.000000	8.2
51	0.000000	0.000000	0.367949	0.000000	8.2
52	0.000000	0.000000	0.367949	0.000000	8.2
53	0.000000	0.000000	0.367949	0.000000	8.2
54	0.000000	0.000000	0.367949	0.000000	8.3
55	0.000000	0.000000	0.367949	0.000000	8.3
56	0.000000	0.000000	0.367949	0.000000	8.3
57	0.000000	0.000000	0.367949	0.000000	8.3
58	0.000000	0.000000	0.367949	0.000000	8.2
59	0.000000	0.000000	0.367949	0.000000	8.3
60	0.000000	0.000000	0.367949	0.000000	8.2
61	0.000000	0.000000	0.367949	0.000000	8.1
62	0.000000	0.000000	0.367949	0.000000	8.3
63	0.000000	0.000000	0.367949	0.000000	8.2
64	0.000000	0.000000	0.367949	0.000000	8.4
65	0.000000	0.000000	0.367949	0.000000	8.3
66	0.000000	0.000000	0.367949	0.000000	8.2
67	0.000000	0.000000	0.367949	0.000000	8.2
68	0.000000	0.000000	0.367949	0.000000	8.3
69	0.000000	0.000000	0.367949	0.000000	8.3
70	0.000000	0.000000	0.367949	0.000000	8.3
71	0.000000	0.000000	0.367949	0.000000	8.2
72	0.000000	0.000000	0.367949	0.000000	8.2
73	0.000000	0.000000	0.367949	0.000000	8.3
74	0.000000	0.000000	0.367949	0.000000	8.3
75	0.000000	0.000000	0.367949	0.000000	8.3
76	0.000000	0.000000	0.367949	0.000000	8.3
77	0.000000	0.000000	0.367949	0.000000	8.3
78	0.000000	0.000000	0.367949	0.000000	8.1
79	0.000000	0.000000	0.367949	0.000000	7.6
80	0.000000	0.000000	0.367949	0.000000	11.0
81	0.000000	0.000000	0.367949	0.000000	11.0
82	0.000000	0.000000	0.367949	0.000000	12.9
83	0.000000	0.000000	0.367949	0.000000	12.2
84	0.000000	0.000000	0.367949	0.000000	12.0
85	0.000000	0.000000	0.367949	0.000000	12.3
86	0.000000	0.000000	0.367949	0.000000	11.1
87	0.000000	0.000000	0.367949	0.000000	12.1
88	0.000000	0.000000	0.367949	0.000000	12.1
89	0.000000	0.000000	0.367949	0.000000	12.1
90	0.000000	0.000000	0.367949	0.000000	10.6
91	0.000000	0.000000	0.367949	0.000000	12.2
92	0.000000	0.000000	0.367949	0.000000	10.6
93	0.000000	0.000000	0.367949	0.000000	12.5
94	0.000000	0.000000	0.367949	0.000000	11.5
95	0.000000	0.000000	0.367949	0.000000	8.0
96	0.000000	0.000000	0.367949	0.000000	11.9
97	0.000000	0.000000	0.367949	0.000000	8.3
98	0.000000	0.000000	0.367949	0.000000	8.3
99	0.000000	0.000000	0.367949	0.000000	8.4
100	0.000000	0.000000	0.367949	0.000000	8.3
101	0.000000	0.000000	0.367949	0.000000	8.2
102	0.000000	0.000000	0.367949	0.000000	10.0
103	0.000000	0.000000	0.367949	0.000000	12.5
104	0.000000	0.000000	0.367949	0.000000	12.3
105	0.000000	0.000000	0.367949	0.000000	12.2
106	0.000000	0.000000	0.367949	0.000000	12.2
107	0.000000	0.000000	0.367949	0.000000	12.4
108	0.000000	0.000000	0.367949	0.000000	10.7
109	0.000000	0.000000	0.367949	0.000000	10.7
110	0.000000	0.000000	0.367949	0.000000	8.3
111	0.000000	0.000000	0.367949	0.000000	8.4
112	0.000000	0.000000	0.367949	0.000000	8.3
113	0.000000	0.000000	0.367949	0.000000	8.1
114	0.000000	0.000000	0.367949	0.000000	8.1
115	0.000000	0.000000	0.367949	0.000000	8.1
116	0.000000	0.000000	0.367949	0.000000	7.9
117	0.000000	0.000000	0.367949	0.000000	7.8
118	0.000000	0.000000	0.367949	0.000000	7.7
119	0.000000	0.000000	0.367949	0.000000	7.6
120	0.000000	0.000000	0.367949	0.000000	7.6
121	0.000000	0.000000	0.367949	0.000000	7.5
122	0.000000	0.000000	0.367949	0.000000	7.5
123	0.000000	0.000000	0.367949	0.000000	7.5
124	0.000000	0.000000	0.367949	0.000000	7.5
125	0.000000	0.000000	0.367949	0.000000	7.4
126	0.000000	0.000000	0.367949	0.000000	7.5
127	0.000000	0.000000	0.367949	0.000000	7.5
128	0.000000	0.000000	0.367949	0.000000	7.5
129	0.000000	0.000000	0.367949	0.000000	7.4
130	0.000000	0.000000	0.367949	0.000000	7.4
131	0.000000	0.000000	0.367949	0.000000	8.4
132	0.000000	0.000000	0.367949	0.000000	7.7
133	0.000000	0.000000	0.367949	0.000000	8.4
134	0.000000	0.000000	0.367949	0.000000	7.5
135	0.000000	0.000000	0.367949	0.000000	7.6
136	0.000000	0.000000	0.367949	0.000000	11.2
137	0.000000	0.000000	0.367949	0.000000	9.2
138	0.000000	0.000000	0.367949	0.000000	10.3
139	0.000000	0.000000	0.367949	0.000000	8.7
