index,acronym,name,depth,parent_structure_id
15564,mouse,Mus musculus,-1,0
15565,NP,neural plate,0,15564
15566,F,forebrain,1,15565
15567,SP,secondary prosencephalon,2,15566
15568,RSP,rostral secondary prosencephalon,3,15567
15569,POTel,preoptic telencephalon,4,15568
15570,POR,preoptic roof plate,5,15569
15571,RSCom,rostral septocommissural area,8,15570
15572,RSComv,ventricular zone of RSCom,9,15571
15573,ACBed,anterior commissure bed,11,15572
15574,RSComm,mantle zone of RSCom,9,15571
15575,MnPOC,"median preoptic nucleus, commissural part",11,15574
15576,POA,preoptic alar plate,5,15569
15577,PO,preoptic area,6,15576
111220530,POv,ventricular zone of PO,9,15577
111220532,POm,mantle zone of PO,9,15577
15578,LTer,lamina terminalis area,8,15577
15579,LTerv,ventricular zone of LTer,9,15578
15580,LTerm,mantle zone of LTer,9,15578
15581,LTerp,periventricular stratum of the LTer,10,15580
15582,VOLT,vascular organ of the lamina terminalis,11,15581
15583,LTeri,intermediate stratum of the LTer,10,15580
15584,MnPOI,"median preoptic nucleus, intermediate part",11,15583
15585,LTers,superficial stratum of the LTer,10,15580
15586,MnPOS,"median preoptic nucleus, superficial part",11,15585
15587,PO1,first (dorsal) preoptic domain,8,15577
15588,PO1v,ventricular zone of PO1,9,15587
15589,PO1m,mantle zone of PO1,9,15587
15590,PO1p,periventricular stratum of PO1,10,15589
15591,AVPe,anteroventral periventricular preoptic nucleus,11,15590
15592,DSPO,dorsal septopreoptic nucleus,11,15590
15593,PO1i,intermediate stratum of PO1,10,15589
15594,PS,parastrial preoptic nucleus,11,15593
15595,DMPAi,"dorsomedial preoptic area, intermediate part",11,15593
15596,LPO1,"lateral preoptic area, PO1 part",11,15593
15597,PO1s,superficial stratum of PO1,10,15589
15598,DMPAs,"dorsomedial preoptic area, superficial part",11,15597
15599,PO2,second (ventral) preoptic domain,8,15577
15600,PO2v,ventricular zone of PO2,9,15599
15601,PO2m,mantle zone of PO2,9,15599
15602,PO2p,periventricular stratum of PO2,10,15601
15603,MPOPe,medial preoptic periventricular stratum,11,15602
15604,MPO,medial preoptic nucleus,11,15602
15605,MPOL,lateral part of MPO,12,15604
15606,MPOM,medial part of MPO,12,15604
15607,MPOC,central part of MPO,12,15604
15608,PO2i,intermediate stratum of PO2,10,15601
15609,LPO2,"lateral preoptic nucleus, PO2 part",11,15608
15610,PO2s,superficial stratum of PO2,10,15601
15611,VMPO,ventromedial preoptic nucleus,11,15610
15612,VLPO,ventrolateral preoptic nucleus,11,15610
15613,POH,preopto-hypothalamic band,6,15576
15614,POHv,ventricular zone of POH,9,15613
15615,POHm,mantle zone of POH,9,15613
15616,POHp,periventricular stratum of POH,10,15615
15617,POHi,intermediate stratum of POH,10,15615
15618,StHy,striohypothalamic nucleus,11,15617
15619,POHA,preopto-hypothalamic area,11,15617
15620,POHs,superficial stratum of POH,10,15615
15621,ESO,episupraoptic nucleus,11,15620
15622,THy,terminal hypothalamus (rostral hypothalamus),4,15568
15623,THyA,alar part of terminal hypothalamus,5,15622
15624,TPaA,terminal paraventricular area of THyA,6,15623
15625,TPaAv,ventricular zone of TPaA,9,15624
15626,TPaAm,mantle zone of TPaA,9,15624
15627,TPaAp,periventricular stratum of TPaA,10,15626
15628,RPa,rostral paraventricular nucleus,11,15627
15629,TPaAi,intermediate stratum of TPaA,10,15626
15630,LA,lateral anterior hypothalamic nucleus,11,15629
15631,TSM,terminal nucleus of the stria medullaris,11,15629
15632,TPaAs,superficial stratum of TPaA,10,15626
15633,SO,supraoptic nucleus,11,15632
15634,ES,"eye vesicle, stalk/nerve",6,15623
15635,EPg,"eye vesicle, pigmented retina",6,15623
15636,EN,"eye vesicle, neural retina",6,15623
15637,ENv,ventricular zone of neural retina,9,15636
15638,ENm,mantle zone of neural retina,9,15636
