1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.150187	0.000000	18.737469	0.004047	1421.1
1	-0.152342	0.000000	18.737469	0.008734	6.9
2	-0.156387	0.996142	17.888903	0.010637	6.4
3	-0.158185	0.759675	18.083305	0.010345	7.1
4	-0.164782	0.527036	18.278729	0.005484	6.8
5	-0.149523	0.289963	18.482270	0.003844	6.6
6	-0.156228	0.729989	18.108009	0.008033	6.7
7	-0.152067	1.257178	17.679099	0.017230	6.4
8	-0.158146	2.257178	16.918942	0.007316	7.6
9	-0.156110	2.090502	17.041070	0.011345	7.9
10	-0.154702	3.088803	16.334845	0.011814	6.8
11	-0.176664	4.088803	15.683763	0.006430	6.6
12	-0.155745	3.851724	15.833382	0.012448	6.4
13	-0.153341	4.851724	15.220913	0.013911	6.7
14	-0.140911	5.851724	14.654063	0.009405	6.5
15	-0.150582	6.851724	14.127917	0.012210	6.7
16	-0.152580	6.614644	14.249209	0.015384	7.0
17	-0.155091	7.614644	13.751240	0.022391	6.5
18	-0.156743	8.614644	13.286901	0.015286	6.4
19	-0.150510	9.614644	12.852896	0.009845	6.7
20	-0.158791	9.377565	12.953205	0.006766	6.4
21	-0.142398	10.377564	12.540388	0.014792	7.0
22	-0.147469	10.144501	12.634232	0.017114	6.4
23	-0.142286	9.907422	12.731144	0.004778	6.8
24	-0.156279	10.907422	12.332142	0.021218	6.5
25	-0.147059	10.670343	12.424458	0.014329	7.2
26	-0.177521	11.670343	12.044160	0.014721	6.4
27	-0.160273	12.670343	11.686452	0.004598	6.4
28	-0.141932	12.433273	11.769319	0.020102	6.6
29	-0.150649	13.265517	11.483464	0.012206	9.7
30	-0.161340	14.265517	11.157836	0.005896	7.8
31	-0.158307	14.028446	11.233352	0.013356	7.0
32	-0.149957	14.042892	11.228721	0.010452	6.5
33	-0.145502	15.042892	10.917183	0.006616	7.0
34	-0.149679	16.042886	10.622467	0.020925	6.4
35	-0.159619	15.805807	10.690890	0.012023	6.7
36	-0.150382	16.805807	10.408106	0.014156	6.3
37	-0.149497	16.568749	10.473781	0.007265	6.3
38	-0.172366	17.568383	10.202316	0.011209	6.4
39	-0.160154	17.331412	10.265389	0.009421	6.4
40	-0.153172	17.094573	10.329210	0.008124	6.4
41	-0.149530	18.094573	10.064999	0.012888	6.4
42	-0.165906	17.857495	10.126408	0.014398	6.9
43	-0.157924	18.857495	9.872343	0.006469	6.6
44	-0.163222	19.857495	9.630714	0.015106	6.5
45	-0.150389	20.857495	9.400631	0.013581	7.0
46	-0.147859	20.620416	9.454179	0.007289	6.4
47	-0.143488	21.620416	9.232356	0.009735	6.4
48	-0.150540	21.383340	9.283998	0.011457	7.3
49	-0.150615	21.146260	9.336222	0.013302	6.8
50	-0.155576	20.909181	9.389037	0.008641	6.4
51	-0.171024	21.909180	9.170225	0.011786	6.6
52	-0.156424	22.900755	8.963100	0.008288	6.4
53	-0.159667	23.900755	8.763479	0.008322	7.0
54	-0.153629	24.900753	8.572557	0.013067	6.6
55	-0.148494	25.900753	8.389777	0.006319	6.5
