1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.211224	0.000000	94.155661	0.001804	2424.6
1	-0.212532	0.000000	94.155661	0.001391	17.4
2	-0.214919	0.000000	94.155661	0.001704	18.7
3	-0.220772	0.000000	94.155661	0.002464	16.5
4	-0.207959	1.000000	89.875858	0.000316	15.1
5	-0.221583	0.902990	90.273926	0.001958	15.2
6	-0.219848	0.808279	90.665974	0.001188	15.6
7	-0.214460	1.796408	86.735983	0.002012	16.0
8	-0.212224	1.697716	87.113121	0.002162	15.5
9	-0.212046	2.697716	83.437108	0.001975	15.5
10	-0.227730	3.697716	80.058775	0.000554	15.2
11	-0.219325	3.599479	80.378485	0.001178	15.2
12	-0.206697	3.899900	79.408707	0.000794	15.8
13	-0.210536	3.821139	79.660682	0.000529	14.9
14	-0.210498	3.739457	79.923699	0.000684	15.0
15	-0.217717	3.667973	80.155304	0.001141	15.8
16	-0.219659	3.999646	79.091875	0.002355	15.7
17	-0.213429	4.999636	76.049869	0.003714	14.4
18	-0.219013	5.999636	73.233169	0.001823	15.0
19	-0.212861	6.999636	70.617665	0.004059	14.5
20	-0.209457	7.999636	68.182542	0.001959	14.1
21	-0.214404	8.999636	65.909763	0.000730	14.9
22	-0.215356	9.936724	63.913325	0.000880	14.5
23	-0.215112	10.006517	63.769461	0.004400	14.1
24	-0.208138	9.907819	63.973095	0.002013	14.7
25	-0.200585	10.907819	61.968161	0.001636	14.2
26	-0.206762	10.809119	62.160442	0.002480	14.7
27	-0.216194	11.809119	60.265833	0.000454	14.6
28	-0.215294	11.717198	60.435153	0.002134	14.3
29	-0.219058	12.058714	59.810822	0.001182	14.3
30	-0.215308	13.058691	58.054753	0.000854	14.9
31	-0.220937	13.712108	56.961935	0.001855	14.5
32	-0.212658	13.613633	57.123992	0.001402	14.3
33	-0.215983	14.613610	55.520035	0.001084	14.1
34	-0.222572	15.609097	54.010316	0.000803	14.1
35	-0.213885	16.370500	52.909886	0.000803	16.4
36	-0.211537	16.276992	53.042608	0.000532	14.1
37	-0.210428	16.192379	53.163281	0.001123	14.7
38	-0.211900	16.099414	53.296499	0.000642	15.1
39	-0.204452	16.018620	53.412819	0.000409	14.4
40	-0.218391	15.980734	53.467540	0.001003	14.2
41	-0.216639	15.971180	53.481356	0.001528	14.0
42	-0.211411	15.872551	53.624413	0.000357	14.0
43	-0.219719	15.801500	53.727943	0.000782	14.4
44	-0.208185	15.733567	53.827304	0.001832	15.4
45	-0.231844	16.727596	52.409088	0.000327	14.6
46	-0.204627	17.149632	51.829305	0.001333	14.2
47	-0.226463	17.301476	51.623830	0.001473	14.3
48	-0.213561	18.300617	50.311396	0.001612	15.3
49	-0.216562	18.201918	50.438065	0.003915	14.3
50	-0.218710	19.201918	49.183447	0.002710	14.9
51	-0.215608	20.201918	47.989729	0.000546	14.6
52	-0.212641	21.180262	46.876639	0.000538	14.2
